Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Quận 1, Hồ Chí Minh, Việt Nam",01/01/2017,34,23,27.9,,35.7,0.1,,,14.8,157.29,,9.8,43.3,74.97,"Rain, Partially cloudy"
"Quận 1, Hồ Chí Minh, Việt Nam",01/02/2017,33,23,28.4,,36.1,0,,,21.2,52.73,,10.3,39.6,67.16,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",01/03/2017,33.8,24.1,28.2,,35.7,0,,,13,79.78,,10.3,35.2,69.77,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",01/04/2017,32.8,24,27.8,,35.2,0,,,12.1,142.6,,9.7,38.3,70.7,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",01/05/2017,32,25,28.5,,34.9,0,,,14.8,137.3,,9.8,42.4,71.11,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",01/06/2017,33,25,28.2,,35.8,0,,,17.3,123.1,27.7,9.4,49.1,70.96,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",01/07/2017,31,25,27.9,,36.2,0,,,20.5,125,38.9,8.8,48.8,74.78,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",01/08/2017,33,26,29,,35.3,0,,,22.3,106.96,38.9,10,33.6,61.61,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",01/09/2017,33,24,28.3,,34.6,0,,,16.6,105.17,,10.2,32.7,66.67,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",01/10/2017,31,24,27.7,,34.6,0,,,12.4,127.68,,9.8,37.5,73.47,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",01/11/2017,32,24,28.1,,35.8,0,,,13,151.68,29.5,9.1,51.3,72.84,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",01/12/2017,33,24,28.2,,37,0,,,13,284.83,27.7,10.1,46.8,75.51,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",01/13/2017,34,25,29.1,,37.3,0,,,11.2,273.86,,9.5,43.3,74.95,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",01/14/2017,32,25.9,27.7,,35.5,6,,,16.6,165.62,,8.9,55.6,85.27,"Rain, Partially cloudy"
"Quận 1, Hồ Chí Minh, Việt Nam",01/15/2017,27,25,25.4,,30.6,9.2,,,11.2,199.31,,7.8,64.8,97.3,"Rain, Partially cloudy"
"Quận 1, Hồ Chí Minh, Việt Nam",01/16/2017,32,24,27.2,,35.8,0.7,,,20.5,152.95,,9.6,51.6,79.54,"Rain, Partially cloudy"
"Quận 1, Hồ Chí Minh, Việt Nam",01/17/2017,32.8,24,27.7,,34.1,0,,,29.4,79.5,,8.9,32.4,72.25,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",01/18/2017,34,24,28.3,,34.1,0,,,18.4,118.22,,10.3,26.8,63.88,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",01/19/2017,32,24.9,28.5,,34.1,0,,,14.8,187.59,,9.9,46.2,70.34,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",01/20/2017,32,25,27.8,,34.5,9,,,12.4,171.33,,10.1,46.6,75.64,"Rain, Partially cloudy"
"Quận 1, Hồ Chí Minh, Việt Nam",01/21/2017,33,24,27.2,,37,0,,,16.6,154.88,,9.9,51.7,74.62,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",01/22/2017,32,24,27.3,,33.5,0,,,12.4,209.47,,9.2,33.4,68.63,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",01/23/2017,34,22,27.8,,35.1,0,,,13,149.24,,10.7,34.1,62.56,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",01/24/2017,31,24,27.2,,33.7,0,,,13,156.78,,10,45.5,65.81,Partially cloudy
"Quận 1, Hồ Chí Minh, Việt Nam",01/25/2017,32,24,27.1,,35.1,24,,,19.3,217.27,,9.4,53,81.35,"Rain, Partially cloudy"
"Quận 1, Hồ Chí Minh, Việt Nam",01/26/2017,33,24,27.8,,36.1,9,,,13,97.06,,9.5,60.8,72.81,"Rain, Partially cloudy"
"Quận 1, Hồ Chí Minh, Việt Nam",01/27/2017,32,22,26.4,,32.3,0,,,16.6,160.74,,10.4,19.4,58.75,Clear
